,Test Y,Model Predictions
979,2,3.4806695
980,0,1.3549962
981,0,1.2885884
982,1,3.5223207
983,1,2.5228302
984,0,1.081012
985,0,3.2136958
986,0,0.91972655
987,0,1.2021643
988,0,1.3999636
989,2,1.0047877
990,0,1.142372
991,0,0.74592686
992,3,4.2100854
993,1,1.3904563
994,7,16.959251
995,0,0.94952685
996,1,6.0453305
997,0,0.73906213
998,0,2.7790437
999,0,1.252665
1000,0,1.0093558
1001,0,0.9457144
1002,0,0.74721885
1003,0,0.804672
1004,1,2.2010467
1005,0,0.8021438
1006,1,1.8507881
1007,0,0.8142344
1008,0,0.9216386
1009,0,1.1946112
1010,2,4.170221
1011,0,0.99736524
1012,0,0.91620153
1013,0,1.3664236
1014,0,1.0233009
1015,2,3.8135862
1016,2,1.404023
1017,0,0.93677163
1018,0,0.91077363
1019,3,3.7182684
1020,1,2.086685
1021,1,1.2983574
1022,1,1.1304587
1023,2,2.8933015
1024,2,1.8806078
1025,3,3.8075213
1026,0,3.997138
1027,1,2.990627
1028,0,1.3763305
1029,0,1.049702
1030,0,1.5789089
1031,0,0.9311826
1032,3,2.035924
1033,0,1.0084656
1034,1,0.8868791
1035,1,1.3030744
1036,0,1.407728
1037,5,3.892879
1038,1,1.2824831
1039,2,2.9464765
1040,18,24.90047
1041,115,175.03223
1042,3,1.5865333
1043,14,5.1775417
1044,0,1.7487788
1045,1,2.459489
1046,0,1.1423682
1047,0,1.1584065
1048,0,0.96485114
1049,3,1.4190109
1050,1,1.1013396
1051,1,1.3452028
1052,1,1.2439972
1053,0,1.0600867
1054,0,0.8695429
1055,0,1.132544
1056,0,1.3191787
1057,0,1.0256739
1058,0,0.8171791
1059,1,1.1306815
1060,3,2.7360916
1061,1,1.1584036
1062,0,0.95840317
1063,9,5.240211
1064,6,4.9620943
1065,0,1.2662852
1066,0,1.0360363
1067,2,0.90281594
1068,0,0.8167274
1069,0,2.491641
1070,1,0.79300976
1071,1,1.4132621
1072,1,1.2650629
1073,0,0.7395514
1074,0,0.84172964
1075,0,0.7806391
1076,2,2.030026
1077,0,0.78705263
1078,0,1.4247618
1079,0,0.8779403
1080,1,5.1206713
1081,0,0.86821663
1082,0,3.1669514
1083,0,0.63172036
1084,1,0.7478489
1085,2,8.184522
1086,0,0.96824664
1087,1,0.8330204
1088,1,0.8064326
1089,2,2.4045773
1090,0,1.2376642
1091,0,1.633457
1092,1,1.1426395
1093,1,1.7304062
1094,0,0.68405384
1095,0,1.0627291
1096,1,2.372397
1097,0,2.0522864
1098,1,1.1431401
1099,0,2.706087
1100,0,1.5913527
1101,0,1.2792295
1102,0,1.2875593
1103,0,1.6334893
1104,0,1.5792693
1105,3,1.5847695
1106,0,1.155411
1107,0,5.1209297
1108,1,1.1130698
1109,10,9.400006
1110,1,0.96596074
1111,0,1.3748128
1112,0,1.3444802
1113,0,0.8568177
1114,0,0.87286854
1115,2,1.3401847
1116,0,0.8495234
1117,0,0.7955546
1118,0,0.7409603
1119,3,0.76140606
1120,0,0.65200883
1121,1,1.9875735
1122,0,0.79335797
1123,0,0.61544424
1124,0,0.64999795
1125,0,1.1584389
1126,4,6.3408046
1127,2,0.8566115
1128,0,0.846302
1129,0,0.61581796
1130,0,0.67033666
1131,0,0.9250697
1132,2,1.9141006
1133,0,1.1905018
1134,0,1.1553285
1135,0,0.77439576
1136,1,0.7437278
1137,0,0.6319794
1138,1,0.61334306
1139,1,1.0766952
1140,1,0.7209443
1141,1,0.6108885
1142,0,0.9534187
1143,0,0.66706246
1144,0,0.5557726
1145,0,0.5145406
1146,0,0.62284213
1147,0,1.0856968
1148,0,0.45303953
1149,0,0.51991606
1150,0,0.5931043
1151,0,0.48292804
1152,2,2.5398262
1153,4,4.5143933
1154,6,7.1200385
1155,0,1.7030711
1156,1,2.5747085
1157,2,1.4639379
1158,1,4.6738997
1159,3,7.0289874
1160,0,1.5139022
1161,0,1.7300783
1162,4,4.161782
1163,0,1.5256023
1164,2,1.9166663
1165,3,4.333008
1166,2,2.8327446
1167,1,1.824711
1168,2,4.2974386
1169,2,1.9247665
1170,1,1.4496202
1171,7,6.3973413
1172,1,2.488723
1173,6,5.2871385
1174,0,1.1359223
1175,1,1.0080894
1176,1,1.1340102
1177,1,1.181825
1178,0,1.1306851
1179,1,4.3846917
1180,0,0.8634548
1181,1,1.6972854
1182,1,1.7361479
1183,1,1.6636324
1184,0,1.4356081
1185,2,1.1819184
1186,3,4.6322865
1187,5,5.469406
1188,1,1.0470694
1189,0,2.9107735
1190,0,1.1226528
1191,1,1.4910245
1192,0,5.651079
1193,1,1.8330165
1194,0,1.3591312
1195,0,1.3266046
1196,5,7.447768
1197,0,1.2030547
1198,1,1.3058329
1199,1,1.3993084
1200,0,1.0706261
1201,2,1.1686355
1202,1,0.8544301
1203,0,0.8954484
1204,0,0.8042855
1205,1,1.5204767
1206,11,9.151493
1207,0,0.93113786
1208,0,0.653127
1209,0,0.6637337
1210,0,0.6634332
1211,0,0.6574402
1212,3,1.083857
1213,0,0.6038137
1214,0,0.9487024
1215,0,0.6500975
1216,2,0.9635184
1217,4,5.1951137
1218,96,128.90024
1219,0,2.2600954
1220,0,1.1142774
1221,1,1.6285703
1222,0,1.733061
1223,9,9.039808
1224,1,1.6460241
1225,3,1.8027518
1226,2,3.4098892
1227,0,0.80135584
1228,1,5.538867
1229,1,2.1843631
1230,7,10.471337
1231,1,0.7202878
1232,2,1.5911208
1233,0,1.4194942
1234,0,1.1147537
1235,2,1.4921963
1236,0,1.5990584
1237,1,7.1356606
1238,2,6.648812
1239,0,0.81390405
1240,0,1.6551538
1241,2,1.4295603
1242,0,0.72563714
1243,0,0.94441086
1244,0,1.8845133
1245,0,0.9631964
1246,1,1.7702477
1247,0,0.9373411
1248,0,1.0548927
1249,1,3.152478
1250,1,1.7114027
1251,1,0.72925913
1252,0,2.6737237
1253,2,1.1366863
1254,0,1.8166509
1255,1,1.0269852
1256,0,1.2825298
1257,6,10.913141
1258,1,1.2845461
1259,0,1.07622
1260,0,1.040263
1261,2,10.110224
1262,0,0.9147944
1263,2,1.1866956
1264,4,1.3789381
1265,0,1.2863531
1266,0,1.180071
1267,0,1.0655816
1268,1,1.4934994
1269,0,1.6375388
1270,0,1.0579869
1271,2,10.642028
1272,3,1.5522026
1273,4,11.891257
1274,0,1.1261224
1275,7,7.994636
1276,7,9.158418
1277,0,0.9273428
1278,0,1.6262373
1279,2,1.6736467
1280,0,1.2768329
1281,26,68.12033
1282,0,1.9184611
1283,4,4.8422723
1284,0,4.988188
1285,5,5.1207585
1286,0,1.4999088
